isis_12,max,mean,median,std,min
Agriculture,928138.0,18328.578400434144,0.0,80222.07988129754,0.0
Business,989825.0,34312.77277659791,0.0,120623.64168991028,0.0
Construction,993698.0,37133.56380131996,0.0,128758.03661887372,0.0
Financial,833537.0,21927.877442060344,0.0,88987.93978508975,0.0
Government,775763.0,14409.18215562267,0.0,72041.49770273457,0.0
Manufacturing,999783.0,22404.940872207917,0.0,102320.26141809871,0.0
Mining,995011.0,44579.74931457853,0.0,140070.24456912032,0.0
OtherServices,975431.0,8509.725252623955,0.0,64080.585448017504,0.0
RealEstate,183470.0,7256.457092442308,0.0,27960.324389007805,0.0
Trade,965259.0,7211.165882830812,0.0,51839.80028827539,0.0
Transport,837627.0,12912.32433933919,0.0,63064.37456176948,0.0
Utilities,999085.0,30188.33182292024,0.0,120879.61658721432,0.0
