estado,max,mean,median,std,min
ACRE,80684.0,2458.4591570618554,700.0,7046.337209112415,0.0
ALAGOAS,93427.0,11741.711839110107,496.0,20885.09752310115,0.0
AMAPA,62398.0,5910.016691770834,111.0,13191.013451099292,0.0
AMAZONAS,97806.0,3250.814070071519,75.0,10545.61440887861,0.0
BAHIA,98521.0,3943.0326176377826,28.0,12581.63571256937,0.0
CEARA,99140.0,6368.803738850739,45.9645,16615.756796458398,0.0
DISTRITO FEDERAL,99536.0,5072.150709112903,97.0,13906.515259950093,0.0
ESPIRITO SANTO,99963.0,3803.388869221615,35.0,12265.274064195188,0.0
GOIAS,99567.0,6584.758085801912,153.0,15415.243883211404,0.0
MARANHAO,99854.0,7269.245748618881,184.5,17229.81024787489,0.0
MATO GROSSO,99999.0,6221.64671150438,100.0,15438.973740426089,0.0
MATO GROSSO DO SUL,98970.0,7698.714271366343,480.0,16231.277575930713,0.0
MINAS GERAIS,99840.0,3161.4784744906956,54.0,10541.091783471224,0.0
PARA,98600.0,7004.136316628971,150.0,17556.85853844163,0.0
PARAIBA,99395.0,5281.931506709402,50.0,14740.690138205102,0.0
PARANA,99416.0,5539.977338251606,395.0,13138.449189179866,0.0
PERNAMBUCO,97743.0,4936.47582984757,69.0,12881.414170722497,0.0
PIAUI,94500.0,4729.389735100402,50.0,14733.64975807704,0.0
RIO DE JANEIRO,99850.0,5375.299202820119,100.0,14855.793300437466,0.0
RIO GRANDE DO NORTE,95164.0,4303.832997783976,11.0,13304.457787252617,0.0
RIO GRANDE DO SUL,99830.0,1871.3606489267613,21.0,7522.170414064102,0.0
RONDONIA,83511.0,3767.694502902946,75.0,11271.02996479849,0.0
RORAIMA,52513.0,3097.608695652174,526.0,10811.874544134462,0.0
SANTA CATARINA,99000.0,3306.6611565768126,100.0,10311.055673972896,0.0
SAO PAULO,99000.0,5536.542221103024,112.0,14488.973754812283,0.0
SERGIPE,88820.0,3805.2902588970587,100.0,11574.098053318075,0.0
TOCANTINS,99800.0,2898.203676140758,70.0,10496.946438166451,0.0
