ano,region,0,razao
2011,Nordeste,2,66652.752372
2011,Norte,2,0.0
2011,Sudeste,10,47.4667562
2011,Sul,5,48127.4
2012,Centro-oeste,474,40353.3568926097
2012,Nordeste,1042,39829.62242429942
2012,Norte,543,28009.859267732965
2012,Sudeste,6456,41486.49491826022
2012,Sul,3047,27503.66906235839
2013,Centro-oeste,818,37516.58123261614
2013,Nordeste,1677,35324.55973829696
2013,Norte,782,33720.15215447059
2013,Sudeste,10257,35933.306476015016
2013,Sul,5722,20591.872622039147
2014,Centro-oeste,800,34875.67216344875
2014,Nordeste,1753,36729.72589415231
2014,Norte,773,25366.46787184088
2014,Sudeste,10738,36977.44283296247
2014,Sul,5907,19165.620081952766
2015,Centro-oeste,857,35110.40786575496
2015,Nordeste,1875,37013.78491509013
2015,Norte,804,27622.405110851993
2015,Sudeste,11240,35676.55445926628
2015,Sul,6292,22110.98117076049
2016,Centro-oeste,862,38357.45350213805
2016,Nordeste,1978,35030.06463022548
2016,Norte,819,28701.63155766911
2016,Sudeste,11592,34706.78231913492
2016,Sul,6581,22050.645594282632
2017,Centro-oeste,917,42621.33073384623
2017,Nordeste,2154,34373.25337760074
2017,Norte,881,30822.66587075142
2017,Sudeste,12048,34269.39960836073
2017,Sul,6833,22336.477659169035
2018,Centro-oeste,941,38547.676132792774
2018,Nordeste,2214,38326.69260074074
2018,Norte,880,34881.61777262159
2018,Sudeste,12883,31981.216156335093
2018,Sul,6907,23460.185591832633
2019,Centro-oeste,951,43322.42582748475
2019,Nordeste,2235,36393.00068639239
2019,Norte,935,31832.97101984385
2019,Sudeste,13193,33920.137268966195
2019,Sul,7010,23133.546654334234
2020,Centro-oeste,1000,40102.521924941
2020,Nordeste,2319,36474.66216667615
2020,Norte,921,35668.99291110858
2020,Sudeste,13503,33456.353525972234
2020,Sul,7271,21728.978083459908
