ano,region,0
2011,Nordeste,2
2011,Norte,2
2011,Sudeste,10
2011,Sul,5
2012,Centro-oeste,474
2012,Nordeste,1042
2012,Norte,543
2012,Sudeste,6456
2012,Sul,3047
2013,Centro-oeste,818
2013,Nordeste,1677
2013,Norte,782
2013,Sudeste,10257
2013,Sul,5722
2014,Centro-oeste,800
2014,Nordeste,1753
2014,Norte,773
2014,Sudeste,10738
2014,Sul,5907
2015,Centro-oeste,857
2015,Nordeste,1875
2015,Norte,804
2015,Sudeste,11240
2015,Sul,6292
2016,Centro-oeste,862
2016,Nordeste,1978
2016,Norte,819
2016,Sudeste,11592
2016,Sul,6581
2017,Centro-oeste,917
2017,Nordeste,2154
2017,Norte,881
2017,Sudeste,12048
2017,Sul,6833
2018,Centro-oeste,941
2018,Nordeste,2214
2018,Norte,880
2018,Sudeste,12883
2018,Sul,6907
2019,Centro-oeste,951
2019,Nordeste,2235
2019,Norte,935
2019,Sudeste,13193
2019,Sul,7010
2020,Centro-oeste,1000
2020,Nordeste,2319
2020,Norte,921
2020,Sudeste,13503
2020,Sul,7271
